Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.642633199924603,None,h,3.3578758999938145,7.642633199924603,None,,,,,,,,,,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,0,0,0,1,,,,,,,11.09180599998217,None,11.09180599998217,None,['h'],0,[3.799747999990359],11.09180599998217,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,0,1,1,3,,,,,,,14.924602499930188,None,14.924602499930188,None,['u'],0,[5.221206199959852],14.924602499930188,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,0,2,2,0,,,,,,,20.177995499921963,None,20.177995499921963,None,['i'],0,[1.1908779999939725],20.177995499921963,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,0,3,3,2,,,,,,,21.41957549995277,None,21.41957549995277,None,['l'],0,[0.5812657000496984],21.41957549995277,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,0,4,4,4,,,,,,,22.03746349993162,None,22.03746349993162,None,['h'],0,[0.38669539999682456],22.03746349993162,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,0,5,5,7,,,,,,,22.470736999996006,None,22.470736999996006,None,['u'],0,[0.22543840005528182],22.470736999996006,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,0,6,6,6,,,,,,,22.72079870000016,None,22.72079870000016,None,['i'],0,[0.23976989998482168],22.72079870000016,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,0,7,7,5,,,,,,,22.9974932000041,None,22.9974932000041,None,['l'],0,[0.23494370002299547],22.9974932000041,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,1,0,8,3,,,,,,,23.275112199946307,None,23.275112199946307,None,['h'],0,[0.21310410008300096],23.275112199946307,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,1,1,9,4,,,,,,,23.51767959992867,None,23.51767959992867,None,['u'],0,[0.2587036000331864],23.51767959992867,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
